0,1,2,3
S. No.,Name,Subsidiary/ Associate,% of shares    held
1.,HDFC Investments Ltd.,Subsidiary,100
2.,HDFC Trustee Co. Ltd.,Subsidiary,100
3.,HDFC Asset Management Co. Ltd.,Subsidiary,52.68
4.,HDFC Holdings Ltd.,Subsidiary,100
5.,HDFC Sales Pvt. Ltd.,Subsidiary,100
6.,HDFC Ventures Trustee Co. Ltd.,Subsidiary,100
7.,HDFC Venture Capital Ltd.,Subsidiary,80.50
8.,HDFC Credila Financial Services Ltd.,Subsidiary,100
9.,HDFC Property Ventures Ltd.,Subsidiary,100
10.,HDFC ERGO General Insurance Co. Ltd.,Subsidiary,50.56
11.,HDFC Education And Development Services Pvt. Ltd.,Subsidiary,100
12.,HDFC Capital Advisors Ltd.,Subsidiary,100
13.,Griha Pte. Ltd.,Subsidiary,100
14.,Griha Investments,Subsidiary,100
15.,HDFC Life Insurance Co. Ltd.,Associate,49.97
16.,HDFC Bank Ltd.,Associate,21.13*
17.,True North Ventures Pvt. Ltd.,Associate,21.51
18.,Good Host Spaces Pvt. Ltd.,Associate,24.79
